# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3939	12907	19405	16802	13955	20254
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	2074	11013	14845	12009	11912	15754
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	120	823	967	1187	1314	1563
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	838	9773	6626	11294	7505	13728
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3483	23992	12042	26221	11995	29279
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3966	31588	12294	32798	18712	44429
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1202	4593	4977	4716	3486	6818
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	292	2070	1842	2247	1180	2696
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	13339	1231	77785	1835	40126	2192
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	264	131	4567	160	2075	180
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	294	125	2738	134	1137	154
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1867	814	8793	1123	4541	1063
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1164	3429	8872	3421	6958	4524
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5768	22158	25647	21600	20705	25441
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	1041	5619	6482	5496	5218	6329
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6285	8622	19454	10254	14262	11552
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3208	6749	5183	6141	8500	6805
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	129	37	7	45	48	83
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	207	163	31	318	232	377
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	916	2537	5939	3424	3860	3634
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	6154	8056	13054	10330	11265	11918
