# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3933	12895	13931	16774	19368	20218
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	2067	10993	11897	11992	14817	15716
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	120	824	1313	1184	968	1562
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	836	9751	7490	11281	6618	13706
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3479	23953	11975	26168	12013	29217
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3958	31546	18689	32740	12271	44366
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1198	4580	3478	4702	4970	6807
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	291	2066	1180	2243	1842	2690
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	13312	1231	40065	1832	77674	2189
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	264	130	2069	160	4557	180
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	294	125	1136	134	2736	154
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1865	811	4535	1122	8776	1063
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1165	3456	7002	3466	8935	4572
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5760	22124	20677	21563	25595	25377
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	1038	5612	5213	5488	6475	6322
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6281	8600	14237	10240	19414	11525
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3204	6736	8483	6136	5170	6788
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	132	37	45	45	7	85
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	207	162	233	321	33	382
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	914	2530	3856	3414	5933	3626
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	6136	8040	11245	10304	13022	11887
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1983	8910	10190	10800	11972	12675
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	2070	7232	6800	7764	8088	9409
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	362	1559	1279	1429	1031	2397
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	656	1203	1003	1129	1376	1624
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	16	342	61	229	49	374
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	676	863	1237	1126	2104	1253
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	3	2	3	0	2
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	13	16	53	7	104	5
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	292	962	2314	940	3884	1271
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	301	29561	1780	17911	2003	28285
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	18	123	18	26	35	48
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	137	15949	1357	9275	1036	13961
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	15	3205	306	2712	292	3587
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	36	25302	938	16285	382	24497
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	269	48161	2021	32480	1097	46485
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	3291	42417	8487	29355	8113	44973
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	13	122	173	171	130	222
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	1974	1817	3144	2452	4089	2810
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	6	16	20	15	39	18
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	57	491	405	508	558	639
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	42	247	384	211	497	339
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	24	95	97	91	130	168
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	58	1512	725	1286	903	1845
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	60	112	233	61	437	90
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	27	336	457	303	676	390
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	42	382	437	321	881	549
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	327	1879	2347	1660	3184	2465
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	111	1185	924	894	1290	1454
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	194	193	451	169	656	360
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	17	119	85	89	143	170
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	28	217	189	165	361	234
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	43	296	250	282	409	370
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	38	409	310	348	446	531
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	462	1837	3353	2161	4997	2721
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	279	366	752	492	908	537
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	398	596	1178	660	1872	927
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	755	1807	2094	1372	1757	1733
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	712	1185	1653	1216	2388	1790
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	3	47	18	26	20	75
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	26	97	214	84	237	133
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	304	255	1658	280	1987	345
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	2155	3716	6016	3778	7491	5230
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	877	1481	8897	2245	5041	2125
