# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3733	12275	18294	13161	15961	19133
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	1955	10422	14169	11346	11446	14956
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	122	797	941	1296	1153	1529
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	802	9427	6375	7186	10933	13245
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3349	23029	11577	11568	25264	28034
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3806	30209	11751	17895	31306	42352
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1137	4369	4708	3310	4482	6478
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	275	1943	1759	1128	2144	2575
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	12670	1175	74325	38301	1768	2072
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	252	123	4364	1969	152	166
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	277	119	2597	1095	129	146
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1741	767	8351	4317	1064	1005
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1108	3430	8651	6755	3397	4475
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5625	21173	24426	19814	20645	24203
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	982	5406	6249	4997	5291	6051
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6012	8207	18523	13531	9760	10983
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3049	6340	4891	8061	5813	6404
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	184	97	23	141	152	191
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	322	288	75	318	449	572
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	882	2431	5626	3638	3257	3455
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	5695	7560	12300	10531	9719	11163
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1881	8618	11550	9821	10488	12215
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	1983	6900	7724	6487	7459	9004
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	339	1469	932	1186	1363	2260
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	621	1152	1292	951	1064	1533
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	15	326	44	57	220	354
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	646	825	2018	1179	1072	1189
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	3	0	2	3	2
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	9	16	102	50	7	5
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	283	921	3684	2211	897	1202
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	278	28160	1912	1686	17056	26780
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	16	111	34	18	25	45
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	127	15203	983	1279	8806	13248
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	17	3134	284	304	2712	3565
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	35	24277	365	904	15628	23482
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	251	46126	1064	1933	31023	44357
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	3144	40653	7778	8101	28146	43082
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	12	100	116	154	153	192
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	1883	1870	3884	2971	2427	2848
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	6	16	42	24	15	27
