# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3941	12918	16813	19419	13967	20275
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	2075	11019	12015	14852	11919	15761
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	120	823	1187	966	1316	1563
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	838	9770	11295	6630	7503	13734
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3484	23993	26225	12050	12005	29291
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3967	31602	32814	12298	18722	44446
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1203	4597	4721	4978	3491	6826
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	293	2072	2247	1843	1182	2697
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	13343	1231	1836	77812	40140	2193
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	264	131	160	4572	2077	180
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	294	125	134	2740	1141	155
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1870	814	1123	8797	4542	1065
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1160	3391	3337	8751	6861	4446
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5766	22168	21609	25658	20715	25447
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	1042	5620	5500	6482	5218	6330
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6288	8627	10260	19466	14269	11556
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3211	6752	6149	5184	8513	6811
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	129	36	41	7	44	80
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	197	155	310	31	224	369
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	916	2538	3428	5942	3862	3638
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	6156	8060	10337	13059	11274	11930
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1984	8929	10826	12002	10210	12709
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	2075	7245	7779	8106	6814	9425
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	364	1562	1432	1035	1280	2402
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	657	1207	1134	1377	1001	1631
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	16	342	229	49	62	375
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	676	865	1126	2107	1244	1258
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	3	3	0	2	2
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	13	16	7	104	53	5
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	293	964	941	3893	2319	1275
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	301	29623	17954	2010	1786	28346
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	18	124	27	35	18	49
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	138	15984	9309	1039	1358	14002
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	15	3216	2714	292	306	3596
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	36	25352	16318	383	941	24557
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	272	48261	32561	1098	2023	46588
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	3301	42498	29415	8128	8509	45065
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	14	124	171	132	174	223
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	1985	1818	2451	4099	3146	2809
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	6	16	14	39	20	18
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	57	493	510	561	407	639
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	42	247	213	497	384	340
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	24	95	91	130	97	168
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	58	1512	1289	907	728	1847
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	61	112	61	437	234	90
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	27	336	303	679	457	391
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	42	383	321	882	438	554
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	328	1883	1662	3193	2351	2477
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	111	1188	896	1292	926	1459
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	194	193	170	661	454	362
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	17	119	90	142	85	169
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	28	217	165	362	189	234
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	42	296	284	410	252	371
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	39	409	347	446	308	535
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	463	1841	2166	5006	3358	2728
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	279	366	493	910	755	537
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	400	597	660	1877	1184	930
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	757	1813	1373	1761	2097	1739
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	716	1188	1221	2397	1657	1796
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	3	47	26	20	18	77
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	26	98	84	237	214	134
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	306	256	280	1991	1663	345
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	2159	3723	3790	7506	6029	5244
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	876	1483	2247	5056	8913	2128
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	50	304	260	1052	951	358
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	1664	2427	4380	13447	11088	4147
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	130	307	384	382	253	547
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	48	444	474	848	673	770
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	17	124	162	51	67	281
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	77	191	236	151	166	405
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	92	418	486	413	394	890
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	130	288	299	217	232	594
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	79	393	529	383	371	882
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	183	655	726	603	568	1247
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	167	357	371	397	303	632
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	167	618	640	761	506	1149
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	201	768	711	807	541	1286
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	16	49	55	240	199	71
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	57	91	90	405	387	112
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	10209	2269	4850	17970	9280	5113
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	0	6	4	4	2	3
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	3	63	46	32	45	80
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	11	41	38	22	35	48
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	7	73	70	37	22	114
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	4	73	53	63	46	102
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	137	826	764	1701	1067	1106
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	338	2816	2423	1224	1208	4023
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	15885	47328	59867	58503	38075	70647
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	249	1410	1345	1334	1240	1888
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	344	3689	6166	2826	1282	6006
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	350	7924	12207	5411	3293	11013
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	3709	11123	14929	8487	6063	14810
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	6258	12674	21718	16509	12680	19071
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	24	166	169	78	127	310
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	4	111	90	67	60	174
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	8	128	112	68	56	194
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	5	145	138	73	85	261
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	293	777	822	911	725	1113
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	465	1453	1670	2236	1607	2039
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	0	11	11	18	3	18
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	3	36	29	53	55	74
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	40	15	11	31	52	17
SAOUHSC_00112	NC_007795.1	115796	116088	+	293	55	232	213	620	377	310
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	5722	1340	1449	21350	8549	2253
SAOUHSC_00114	NC_007795.1	119492	120160	+	669	1017	981	1520	11177	6040	1354
SAOUHSC_00115	NC_007795.1	120176	120862	+	687	2244	1136	1952	12798	6867	1666
SAOUHSC_00116	NC_007795.1	120865	121629	+	765	2338	1424	2455	15397	6831	2039
SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	8759	2629	5141	23244	11006	4229
SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	4275	1586	2745	13637	5497	2321
SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	2411	1610	2909	14191	5262	2524
SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	5601	1698	3034	14323	5760	2546
SAOUHSC_00121	NC_007795.1	126743	127369	+	627	1686	746	1164	6786	2601	1135
SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	1358	1076	1758	10770	4085	1743
SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	2213	739	1125	7592	2859	1161
SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	725	613	695	5600	2138	777
SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	4646	1643	2657	14851	4474	2580
SAOUHSC_00126	NC_007795.1	132078	132635	+	558	3292	824	1239	8211	2084	1212
SAOUHSC_00127	NC_007795.1	132635	133522	+	888	1819	1589	2405	10865	3979	2451
SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	5615	2214	3582	17604	5304	3676
SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	5463	2754	3887	15407	5564	4214
SAOUHSC_00130	NC_007795.1	136125	136451	-	327	56	738	920	881	592	1112
SAOUHSC_00131	NC_007795.1	136458	136841	-	384	38	533	640	735	487	779
SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	3094	4556	13569	33328	22156	12570
SAOUHSC_00133	NC_007795.1	139401	140360	+	960	174	384	562	1571	1364	656
SAOUHSC_00134	NC_007795.1	140422	140625	-	204	10	16	32	63	110	36
SAOUHSC_00135	NC_007795.1	140804	141316	+	513	114	945	839	334	263	1477
SAOUHSC_00136	NC_007795.1	141658	142398	+	741	10	219	196	40	31	377
SAOUHSC_00137	NC_007795.1	142412	143386	+	975	58	344	333	117	83	582
SAOUHSC_00138	NC_007795.1	143383	144144	+	762	17	258	267	97	69	467
SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	290	835	786	1825	1020	1328
SAOUHSC_00141	NC_007795.1	145405	145764	+	360	287	20392	19816	5388	5648	31944
SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	84	1168	1660	243	268	1819
SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	316	6820	5968	2338	1911	11495
SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	14060	76111	76747	68080	59652	132811
SAOUHSC_00145	NC_007795.1	156233	156877	+	645	1046	11704	12186	7409	7413	20683
SAOUHSC_00146	NC_007795.1	157205	157684	-	480	1956	3232	2150	3446	3674	3855
SAOUHSC_00147	NC_007795.1	157954	158718	-	765	55	2698	1607	475	400	3018
SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	148	3022	1800	595	422	3217
SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	37	732	463	216	151	861
SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	41	966	615	287	152	1022
SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	348	1601	1527	7490	6674	2100
SAOUHSC_00152	NC_007795.1	164125	164622	-	498	325	832	1323	842	864	1614
SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	424	1262	2460	2956	1412	2747
SAOUHSC_00154	NC_007795.1	166583	166684	+	102	0	25	24	5	14	42
SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	3478	3547	3487	13086	13064	5498
SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	1773	2080	3866	16930	6873	3146
SAOUHSC_00157	NC_007795.1	170349	171245	+	897	2484	1393	2708	7998	2466	1926
SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	2960	2306	4489	9268	3392	3423
SAOUHSC_00160	NC_007795.1	172714	173589	+	876	384	1701	3054	3738	1776	2618
SAOUHSC_00161	NC_007795.1	173783	174064	-	282	9	48	39	146	83	93
SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	659	1768	2390	5677	4384	2830
SAOUHSC_00163	NC_007795.1	177271	178113	+	843	249	742	1019	4801	3091	1196
SAOUHSC_00164	NC_007795.1	178115	179038	+	924	289	672	1092	3139	2660	1164
SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	484	1106	1543	5035	2850	1700
SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	198	2792	2467	763	634	3912
SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	15	98	122	67	66	176
SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	27	128	119	108	90	209
SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	92	431	373	484	291	788
SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	269	668	672	1008	723	1204
SAOUHSC_00172	NC_007795.1	188732	189505	-	774	24	2214	2109	397	419	2620
SAOUHSC_00173	NC_007795.1	189695	190321	-	627	86	35288	24803	1469	1098	41005
SAOUHSC_00174	NC_007795.1	190530	191108	+	579	489	1790	3355	2407	1736	2945
SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	76	178	251	364	238	296
SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	60	543	729	256	140	773
SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	80	695	953	334	166	934
SAOUHSC_00178	NC_007795.1	195145	195984	+	840	31	553	787	243	190	751
SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	221	1056	1542	532	324	1433
SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	169	1041	1503	472	343	1454
SAOUHSC_00181	NC_007795.1	198254	199222	+	969	119	1329	1968	560	526	1926
SAOUHSC_00182	NC_007795.1	199583	200155	-	573	43	460	429	974	870	664
SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	591	3630	4664	1402	2282	3295
SAOUHSC_00184	NC_007795.1	202048	202806	-	759	94	389	280	585	518	501
SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	142	479	454	1337	821	723
SAOUHSC_00186	NC_007795.1	204352	205320	-	969	108	218	203	750	645	331
SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	49122	6919	9739	174683	115863	12060
SAOUHSC_00188	NC_007795.1	208180	208935	+	756	19791	2101	3276	51647	30969	4064
SAOUHSC_00189	NC_007795.1	208925	209233	+	309	60	44	49	466	199	74
SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	199	870	808	2059	1507	1256
SAOUHSC_00191	NC_007795.1	211198	211542	-	345	96	2171	3277	4508	4803	4046
SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	287	4999	8979	2844	5791	5649
SAOUHSC_00193	NC_007795.1	213824	213931	-	108	0	21	41	17	21	33
SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	487	1965	5457	1803	789	2894
SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	568	2428	8221	5369	1635	3670
SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	859	1106	5109	5228	1764	1656
SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	1250	1752	7949	14140	7277	3034
SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	4513	2061	9122	38286	23673	3885
SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	167	646	551	1256	885	980
SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	140	1866	1250	1481	1259	2498
SAOUHSC_00202	NC_007795.1	225908	226264	-	357	72	29	45	388	232	98
SAOUHSC_00203	NC_007795.1	226421	226594	-	174	101	72	70	735	458	144
SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	997	870	1089	10659	5708	1718
SAOUHSC_00205	NC_007795.1	227920	228027	+	108	3	41	34	42	28	55
SAOUHSC_00206	NC_007795.1	228482	229291	+	810	57667	10665	13829	251349	132246	14466
SAOUHSC_00208	NC_007795.1	229502	229645	+	144	10	55	49	95	115	55
SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	564	997	1401	941	1500	1873
SAOUHSC_00211	NC_007795.1	231502	232437	+	936	280	195	193	542	424	291
SAOUHSC_00212	NC_007795.1	232547	232645	+	99	0	0	2	0	0	3
SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	20	162	180	134	130	260
