# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3941	12918	19419	13967	16813	20275
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	2075	11019	14852	11919	12015	15761
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	120	823	966	1316	1187	1563
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	838	9770	6630	7503	11295	13734
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3484	23993	12050	12005	26225	29291
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3967	31602	12298	18722	32814	44446
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1203	4597	4978	3491	4721	6826
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	293	2072	1843	1182	2247	2697
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	13343	1231	77812	40140	1836	2193
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	264	131	4572	2077	160	180
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	294	125	2740	1141	134	155
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1870	814	8797	4542	1123	1065
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1160	3391	8751	6861	3337	4446
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5766	22168	25658	20715	21609	25447
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	1042	5620	6482	5218	5500	6330
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6288	8627	19466	14269	10260	11556
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3211	6752	5184	8513	6149	6811
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	129	36	7	44	41	80
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	197	155	31	224	310	369
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	916	2538	5942	3862	3428	3638
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	6156	8060	13059	11274	10337	11930
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1984	8929	12002	10210	10826	12709
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	2075	7245	8106	6814	7779	9425
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	364	1562	1035	1280	1432	2402
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	657	1207	1377	1001	1134	1631
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	16	342	49	62	229	375
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	676	865	2107	1244	1126	1258
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	3	0	2	3	2
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	13	16	104	53	7	5
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	293	964	3893	2319	941	1275
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	301	29623	2010	1786	17954	28346
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	18	124	35	18	27	49
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	138	15984	1039	1358	9309	14002
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	15	3216	292	306	2714	3596
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	36	25352	383	941	16318	24557
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	272	48261	1098	2023	32561	46588
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	3301	42498	8128	8509	29415	45065
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	14	124	132	174	171	223
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	1985	1818	4099	3146	2451	2809
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	6	16	39	20	14	18
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	57	493	561	407	510	639
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	42	247	497	384	213	340
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	24	95	130	97	91	168
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	58	1512	907	728	1289	1847
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	61	112	437	234	61	90
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	27	336	679	457	303	391
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	42	383	882	438	321	554
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	328	1883	3193	2351	1662	2477
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	111	1188	1292	926	896	1459
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	194	193	661	454	170	362
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	17	119	142	85	90	169
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	28	217	362	189	165	234
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	42	296	410	252	284	371
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	39	409	446	308	347	535
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	463	1841	5006	3358	2166	2728
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	279	366	910	755	493	537
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	400	597	1877	1184	660	930
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	757	1813	1761	2097	1373	1739
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	716	1188	2397	1657	1221	1796
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	3	47	20	18	26	77
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	26	98	237	214	84	134
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	306	256	1991	1663	280	345
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	2159	3723	7506	6029	3790	5244
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	876	1483	5056	8913	2247	2128
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	50	304	1052	951	260	358
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	1664	2427	13447	11088	4380	4147
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	130	307	382	253	384	547
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	48	444	848	673	474	770
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	17	124	51	67	162	281
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	77	191	151	166	236	405
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	92	418	413	394	486	890
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	130	288	217	232	299	594
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	79	393	383	371	529	882
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	183	655	603	568	726	1247
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	167	357	397	303	371	632
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	167	618	761	506	640	1149
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	201	768	807	541	711	1286
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	16	49	240	199	55	71
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	57	91	405	387	90	112
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	10209	2269	17970	9280	4850	5113
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	0	6	4	2	4	3
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	3	63	32	45	46	80
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	11	41	22	35	38	48
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	7	73	37	22	70	114
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	4	73	63	46	53	102
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	137	826	1701	1067	764	1106
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	338	2816	1224	1208	2423	4023
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	15885	47328	58503	38075	59867	70647
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	249	1410	1334	1240	1345	1888
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	344	3689	2826	1282	6166	6006
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	350	7924	5411	3293	12207	11013
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	3709	11123	8487	6063	14929	14810
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	6258	12674	16509	12680	21718	19071
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	24	166	78	127	169	310
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	4	111	67	60	90	174
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	8	128	68	56	112	194
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	5	145	73	85	138	261
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	293	777	911	725	822	1113
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	465	1453	2236	1607	1670	2039
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	0	11	18	3	11	18
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	3	36	53	55	29	74
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	40	15	31	52	11	17
SAOUHSC_00112	NC_007795.1	115796	116088	+	293	55	232	620	377	213	310
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	5722	1340	21350	8549	1449	2253
